Name used in JSS,Short name,Description,Synonyms,Source Type,Map Type,ICD-10 ID,ICD-10 Name,Parent Category
"Pneumonia, unspec.",,,,ICD 10 - WHO,SAME-AS,J18.9,"Pneumonia, unspecified organism",Respiratory System
"Respiratory disease, other, NOS",,,,ICD 10 - WHO,SAME-AS,J98.9,"Respiratory disorder, unspecified",Respiratory System
"Rhinitis, chronic",,,,ICD 10 - WHO,SAME-AS,J31.0,Chronic rhinitis,Respiratory System
"Sinusitis, acute, frontal",,,,ICD 10 - WHO,SAME-AS,J01.10,"Acute frontal sinusitis, unspecified",Respiratory System
"Sinusitis, acute, maxillary",,,,ICD 10 - WHO,SAME-AS,J01.00,"Acute maxillary sinusitis, unspecified",Respiratory System
"Sinusitis, acute, NOS",,,,ICD 10 - WHO,SAME-AS,J01.90,"Acute sinusitis, unspecified",Respiratory System
"Sinusitis, chronic, frontal",,,,ICD 10 - WHO,SAME-AS,J32.1,Chronic frontal sinusitis,Respiratory System
"Sinusitis, chronic, maxillary",,,,ICD 10 - WHO,SAME-AS,J32.0,Chronic maxillary sinusitis,Respiratory System
"Sinusitis, chronic, NOS",,,,ICD 10 - WHO,SAME-AS,J32.9,"Chronic sinusitis, unspecified",Respiratory System
"Tonsil/adenoid disease, chronic, unspec.",,,,ICD 10 - WHO,SAME-AS,J35.9,"Chronic disease of tonsils and adenoids, unspecified",Respiratory System
"Tonsillitis, acute",,,,ICD 10 - WHO,SAME-AS,J03.90,"Acute tonsillitis, unspecified",Respiratory System
"Upper respiratory infection, acute, NOS",,,,ICD 10 - WHO,SAME-AS,J06.9,"Acute upper respiratory infection, unspecified",Respiratory System
"Anal fissure, nontraumatic",,,,ICD 10 - WHO,SAME-AS,K60.2,"Anal fissure, unspecified",Digestive System
"Cholecystitis, acute",,,,ICD 10 - WHO,SAME-AS,K81.0,Acute cholecystitis,Digestive System
"Cholelithiasis, NOS",,,,ICD 10 - WHO,SAME-AS,K80.20,Calculus of gallbladder without cholecystitis without obstruction,Digestive System
"Constipation, unspec.",,,,ICD 10 - WHO,SAME-AS,K59.00,"Constipation, unspecified",Digestive System
"Crohn's disease, NOS",,,,ICD 10 - WHO,SAME-AS,K50.90,"Crohn's disease, unspecified, without complications",Digestive System
Dental abscess,,,,ICD 10 - WHO,SAME-AS,K04.7,Periapical abscess without sinus,Digestive System
"Dental caries, unspec.",,,,ICD 10 - WHO,SAME-AS,K02.9,"Dental caries, unspecified",Digestive System
"Dental, unspec.",,,,ICD 10 - WHO,SAME-AS,K08.9,"Disorder of teeth and supporting structures, unspecified",Digestive System
"Diverticulitis of colon, NOS",,,,ICD 10 - WHO,SAME-AS,K57.32,Diverticulitis of large intestine without perforation or abscess without bleeding,Digestive System
Diverticulosis of colon,,,,ICD 10 - WHO,SAME-AS,K57.30,Diverticulosis of large intestine without perforation or abscess without bleeding,Digestive System
Dyspepsia,,,,ICD 10 - WHO,SAME-AS,K30,Functional dyspepsia,Digestive System
"Esophageal disease, unspec.",,,,ICD 10 - WHO,SAME-AS,K22.9,"Disease of esophagus, unspecified",Digestive System
"Esophagitis, unspec.",,,,ICD 10 - WHO,SAME-AS,K20.9,"Esophagitis, unspecified",Digestive System
"Functional disorder intestine, unspec.",,,,ICD 10 - WHO,SAME-AS,K59.9,"Functional intestinal disorder, unspecified",Digestive System
"Gallbladder disease, unspec.",,,,ICD 10 - WHO,SAME-AS,K82.9,"Disease of gallbladder, unspecified",Digestive System
"Gastroenteritis, infectious",,,,ICD 10 - WHO,SAME-AS,A09,"Infectious gastroenteritis and colitis, unspecified",Digestive System
"Gastroesophageal reflux, no esophagitis",,,,ICD 10 - WHO,SAME-AS,K21.9,Gastro-esophageal reflux disease without esophagitis,Digestive System
"Hemorrhoids, NOS",,,,ICD 10 - WHO,SAME-AS,K64.9,Unspecified hemorrhoids,Digestive System
"Hernia, hiatal, noncongenital",,,,ICD 10 - WHO,SAME-AS,K44.9,Diaphragmatic hernia without obstruction or gangrene,Digestive System
"Hernia, inguinal, NOS",,,,ICD 10 - WHO,SAME-AS,K40.90,"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",Digestive System
"Hernia, other, NOS",,,,ICD 10 - WHO,SAME-AS,K46.9,Unspecified abdominal hernia without obstruction or gangrene,Digestive System
"Intestinal obstruction, unspec.",,,,ICD 10 - WHO,SAME-AS,K56.60,Unspecified intestinal obstruction,Digestive System
Irritable bowel syndrome,,,,ICD 10 - WHO,SAME-AS,K58.9,Irritable bowel syndrome without diarrhea,Digestive System
"Oral, tongue diseases, unspec.",,,,ICD 10 - WHO,SAME-AS,K14.9,"Disease of tongue, unspecified",Digestive System
"Pancreatitis, acute",,,,ICD 10 - WHO,SAME-AS,K85.9,"Acute pancreatitis, unspecified",Digestive System
"Peptic ulcer disease, unspec., w/o obstruction",,,,ICD 10 - WHO,SAME-AS,K27.9,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation",Digestive System
"Ulcerative colitis, unspec.",,,,ICD 10 - WHO,SAME-AS,K51.90,"Ulcerative colitis, unspecified, without complications",Digestive System
"Breast disease, unspec.",,,,ICD 10 - WHO,SAME-AS,N64.9,"Disorder of breast, unspecified",Genitourinary System
Breast lump,,,,ICD 10 - WHO,SAME-AS,N63,Unspecified lump in breast,Genitourinary System
Fibroadenosis,,,,ICD 10 - WHO,SAME-AS,N60.29,Fibroadenosis of unspecified breast,Genitourinary System
Fibrocystic disease,,,,ICD 10 - WHO,SAME-AS,N60.19,Diffuse cystic mastopathy of unspecified breast,Genitourinary System
Galactorrhea,,,,ICD 10 - WHO,SAME-AS,N64.3,Galactorrhea not associated with childbirth,Genitourinary System
"Mastitis, lactating, unspec.",,,,ICD 10 - WHO,SAME-AS,O91.23,Nonpurulent mastitis associated with lactation,Genitourinary System
"Mastitis, NOS",,,,ICD 10 - WHO,SAME-AS,N61,Inflammatory disorders of breast,Genitourinary System
Amenorrhea,,,,ICD 10 - WHO,SAME-AS,N91.2,"Amenorrhea, unspecified",Genitourinary System
"Hormone replacement therapy, postmenopausal",,,,ICD 10 - WHO,SAME-AS,Z79.890,Hormone replacement therapy (postmenopausal),Genitourinary System
"Menopausal disorders, unspec.",,,,ICD 10 - WHO,SAME-AS,N95.9,Unspecified menopausal and perimenopausal disorder,Genitourinary System
"Menstruation, excessive/frequent",,,,ICD 10 - WHO,SAME-AS,N92.0,Excessive and frequent menstruation with regular cycle,Genitourinary System
"Menstruation, painful",,,,ICD 10 - WHO,SAME-AS,N94.6,"Dysmenorrhea, unspecified",Genitourinary System
Metrorrhagia,,,,ICD 10 - WHO,SAME-AS,N92.1,Excessive and frequent menstruation with irregular cycle,Genitourinary System
Premenstrual tension syndrome,,,,ICD 10 - WHO,SAME-AS,N94.3,Premenstrual tension syndrome,Genitourinary System
Bartholin cyst,,,,ICD 10 - WHO,SAME-AS,N75.0,Cyst of Bartholin's gland,Genitourinary System
"Cervical polyp, NOS",,,,ICD 10 - WHO,SAME-AS,N84.1,Polyp of cervix uteri,Genitourinary System
Cervicitis,,,,ICD 10 - WHO,SAME-AS,N72,Inflammatory disease of cervix uteri,Genitourinary System
"Cyst of ovary, follicular",,,,ICD 10 - WHO,SAME-AS,N83.0,Follicular cyst of ovary,Genitourinary System
"Cystocele/rectocele/prolapse, unspec.",,,,ICD 10 - WHO,SAME-AS,N81.9,"Female genital prolapse, unspecified",Genitourinary System
Dyspareunia,,,,ICD 10 - WHO,SAME-AS,N94.1,Dyspareunia,Genitourinary System
"Endometriosis, unspec.",,,,ICD 10 - WHO,SAME-AS,N80.9,"Endometriosis, unspecified",Genitourinary System
"Female genital disease, unspec.",,,,ICD 10 - WHO,SAME-AS,N94.9,Unspecified condition associated with female genital organs and menstrual cycle,Genitourinary System
"Fibroid uterus (leiomyoma), unspec.",,,,ICD 10 - WHO,SAME-AS,D25.9,"Leiomyoma of uterus, unspecified",Genitourinary System
"Incontinence, stress, female",,,,ICD 10 - WHO,SAME-AS,N39.3,Stress incontinence (female) (male),Genitourinary System
"Pelvic inflammatory disease, unspec.",,,,ICD 10 - WHO,SAME-AS,N73.9,"Female pelvic inflammatory disease, unspecified",Genitourinary System
"Infertility, female, unspec.",,,,ICD 10 - WHO,SAME-AS,N97.9,"Female infertility, unspecified",Genitourinary System
"Infertility, male, unspec.",,,,ICD 10 - WHO,SAME-AS,N46.9,"Male infertility, unspecified",Genitourinary System
BPH/LUTS w/ obstruction,,,,ICD 10 - WHO,SAME-AS,N40.1,Enlarged prostate with lower urinary tract symptoms,Genitourinary System
BPH/LUTS w/o obstruction,,,,ICD 10 - WHO,SAME-AS,N40.0,Enlarged prostate without lower urinary tract symptoms,Genitourinary System
"Hydrocele, unspec.",,,,ICD 10 - WHO,SAME-AS,N43.3,"Hydrocele, unspecified",Genitourinary System
"Impotence, organic",,,,ICD 10 - WHO,SAME-AS,N52.9,"Male erectile dysfunction, unspecified",Genitourinary System
"Prostatitis, NOS",,,,ICD 10 - WHO,SAME-AS,N41.9,"Inflammatory disease of prostate, unspecified",Genitourinary System
"PSA, elevated",,,,ICD 10 - WHO,SAME-AS,R97.2,Elevated prostate specific antigen [PSA],Genitourinary System
"Urethritis, nongonococcal, unspec.",,,,ICD 10 - WHO,SAME-AS,N34.1,Nonspecific urethritis,Genitourinary System
Varicocele,,,,ICD 10 - WHO,SAME-AS,I86.1,Scrotal varices,Genitourinary System
"Calculus, urinary, unspec.",,,,ICD 10 - WHO,SAME-AS,N20.9,"Urinary calculus, unspecified",Genitourinary System
"Glomerulonephritis, acute, unspec.",,,,ICD 10 - WHO,SAME-AS,N00.9,Acute nephritic syndrome with unspecified morphologic changes,Genitourinary System
"Glomerulonephritis, chronic, unspec.",,,,ICD 10 - WHO,SAME-AS,N03.9,Chronic nephritic syndrome with unspecified morphologic changes,Genitourinary System
"Hematuria, unspec.",,,,ICD 10 - WHO,SAME-AS,R31.9,"Hematuria, unspecified",Genitourinary System
"Pyelonephritis, acute, w/o necrosis",,,,ICD 10 - WHO,SAME-AS,N10,Acute tubulo-interstitial nephritis,Genitourinary System
"Renal failure, acute, unspec.",,,,ICD 10 - WHO,SAME-AS,N17.9,"Acute kidney failure, unspecified",Genitourinary System
"Renal failure/insufficiency, chronic, unspec.",,,,ICD 10 - WHO,SAME-AS,N18.9,"Chronic kidney disease, unspecified",Genitourinary System
"Renal insufficiency, acute",,,,ICD 10 - WHO,SAME-AS,N28.9,"Disorder of kidney and ureter, unspecified",Genitourinary System
"Urethral syndrome, non-VD, NOS",,,,ICD 10 - WHO,SAME-AS,N34.3,"Urethral syndrome, unspecified",Genitourinary System
"Urinary obstruction, unspec.",,,,ICD 10 - WHO,SAME-AS,N13.9,"Obstructive and reflux uropathy, unspecified",Genitourinary System
"Urinary tract infection, unspec./pyuria",,,,ICD 10 - WHO,SAME-AS,N39.0,"Urinary tract infection, site not specified",Genitourinary System
"Abortion, induced, w/o complication",,,,ICD 10 - WHO,SAME-AS,Z33.2,Encounter for elective termination of pregnancy,"Pregnancy, Childbirth"
"Abortion, spontaneous, w/o complication",,,,ICD 10 - WHO,SAME-AS,O03.9,Complete or unspecified spontaneous abortion without complication,"Pregnancy, Childbirth"
"Abruptio placentae, unspec.",,,,ICD 10 - WHO,SAME-AS,O45.8X9,"Other premature separation of placenta, unspecified trimester","Pregnancy, Childbirth"
"Bleeding in pregnancy, unspec.",,,,ICD 10 - WHO,SAME-AS,O46.90,"Antepartum hemorrhage, unspecified, unspecified trimester","Pregnancy, Childbirth"
"Complicated delivery/labor, unspec.",,,,ICD 10 - WHO,SAME-AS,O75.9,"Complication of labor and delivery, unspecified","Pregnancy, Childbirth"
"Decreased fetal movements, unspec.",,,,ICD 10 - WHO,SAME-AS,O36.8190,"Decreased fetal movements, unspecified trimester, not applicable or unspecified","Pregnancy, Childbirth"
"Ectopic pregnancy, no IUP, unspec.",,,,ICD 10 - WHO,SAME-AS,O00.9,"Ectopic pregnancy, unspecified","Pregnancy, Childbirth"
"Endometritis, postpartum",,,,ICD 10 - WHO,SAME-AS,O86.12,Endometritis following delivery,"Pregnancy, Childbirth"
"Gestational hypertension, unspec.",,,,ICD 10 - WHO,SAME-AS,O13.9,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester","Pregnancy, Childbirth"
Normal delivery,,,,ICD 10 - WHO,SAME-AS,O80,Encounter for full-term uncomplicated delivery,"Pregnancy, Childbirth"
"Other complication of puerperium/postpartum, unspec.",,,,ICD 10 - WHO,SAME-AS,O90.9,"Complication of the puerperium, unspecified","Pregnancy, Childbirth"
"Placenta previa, w/ bleeding, unspec.",,,,ICD 10 - WHO,SAME-AS,O44.10,"Placenta previa with hemorrhage, unspecified trimester","Pregnancy, Childbirth"
"Placenta previa, w/o bleeding, unspec.",,,,ICD 10 - WHO,SAME-AS,O44.00,"Placenta previa specified as without hemorrhage, unspecified trimester","Pregnancy, Childbirth"
"Postpartum follow-up, routine",,,,ICD 10 - WHO,SAME-AS,Z39.2,Encounter for routine postpartum follow-up,"Pregnancy, Childbirth"
"Post-term pregnancy, unspec.",,,,ICD 10 - WHO,SAME-AS,O48.0,Post-term pregnancy,"Pregnancy, Childbirth"
"Pregnancy, other complications, unspec.",,,,ICD 10 - WHO,SAME-AS,O26.90,"Pregnancy related conditions, unspecified, unspecified trimester","Pregnancy, Childbirth"
"Pregnant state, incidental",,,,ICD 10 - WHO,SAME-AS,Z33.1,"Pregnant state, incidental","Pregnancy, Childbirth"
"Prenatal care, normal, first pregnancy",,,,ICD 10 - WHO,SAME-AS,Z34.00,"Encounter for supervision of normal first pregnancy, unspecified trimester","Pregnancy, Childbirth"
"Threatened abortion, unspec.",,,,ICD 10 - WHO,SAME-AS,O20.0,Threatened abortion,"Pregnancy, Childbirth"
"Twins, unspec.",,,,ICD 10 - WHO,SAME-AS,O30.009,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester","Pregnancy, Childbirth"
"Vomiting of pregnancy, unspec.",,,,ICD 10 - WHO,SAME-AS,O21.9,"Vomiting of pregnancy, unspecified","Pregnancy, Childbirth"
Actinic keratosis,,,,ICD 10 - WHO,SAME-AS,L57.0,Actinic keratosis,"Skin, Subcutaneous Tissue"
"Alopecia, unspec.",,,,ICD 10 - WHO,SAME-AS,L65.9,"Nonscarring hair loss, unspecified","Skin, Subcutaneous Tissue"
"Contact dermatitis, NOS",,,,ICD 10 - WHO,SAME-AS,L25.9,"Unspecified contact dermatitis, unspecified cause","Skin, Subcutaneous Tissue"
Corn/callus,,,,ICD 10 - WHO,SAME-AS,L84,Corns and callosities,"Skin, Subcutaneous Tissue"
Diaper rash,,,,ICD 10 - WHO,SAME-AS,L22,Diaper dermatitis,"Skin, Subcutaneous Tissue"
"Hair disease, unspec.",,,,ICD 10 - WHO,SAME-AS,L73.9,"Follicular disorder, unspecified","Skin, Subcutaneous Tissue"
Ingrown nail,,,,ICD 10 - WHO,SAME-AS,L60.0,Ingrowing nail,"Skin, Subcutaneous Tissue"
"Lymphadenitis, acute",,,,ICD 10 - WHO,SAME-AS,L04.9,"Acute lymphadenitis, unspecified","Skin, Subcutaneous Tissue"
"Nail disease, unspec.",,,,ICD 10 - WHO,SAME-AS,L60.9,"Nail disorder, unspecified","Skin, Subcutaneous Tissue"
Onychomycosis,,,,ICD 10 - WHO,SAME-AS,B35.1,Tinea unguium,"Skin, Subcutaneous Tissue"
"Other skin disease, unspec.",,,,ICD 10 - WHO,SAME-AS,L98.9,"Disorder of the skin and subcutaneous tissue, unspecified","Skin, Subcutaneous Tissue"
Pityriasis rosea,,,,ICD 10 - WHO,SAME-AS,L42,Pityriasis rosea,"Skin, Subcutaneous Tissue"
"Pruritus, NOS",,,,ICD 10 - WHO,SAME-AS,L29.9,"Pruritus, unspecified","Skin, Subcutaneous Tissue"
Sebaceous cyst,,,,ICD 10 - WHO,SAME-AS,L72.3,Sebaceous cyst,"Skin, Subcutaneous Tissue"
"Seborrheic dermatitis, NOS",,,,ICD 10 - WHO,SAME-AS,L21.9,"Seborrheic dermatitis, unspecified","Skin, Subcutaneous Tissue"
"Seborrheic keratosis, NOS",,,,ICD 10 - WHO,SAME-AS,L82.1,Other seborrheic keratosis,"Skin, Subcutaneous Tissue"
"Ulcer, skin, chronic, unspec.",,,,ICD 10 - WHO,SAME-AS,L98.499,Non-pressure chronic ulcer of skin of other sites with unspecified severity,"Skin, Subcutaneous Tissue"
"Urticaria, unspec.",,,,ICD 10 - WHO,SAME-AS,L50.9,"Urticaria, unspecified","Skin, Subcutaneous Tissue"
"Acquired deformity, limb, unspec.",,,,ICD 10 - WHO,SAME-AS,M21.90,Unspecified acquired deformity of unspecified limb,Musculoskeletal and Connective Tissue
"Arthropathy, traumatic, unspec.",,,,ICD 10 - WHO,SAME-AS,M12.50,"Traumatic arthropathy, unspecified site",Musculoskeletal and Connective Tissue
"Arthropathy, unspec.",,,,ICD 10 - WHO,SAME-AS,M12.9,"Arthropathy, unspecified",Musculoskeletal and Connective Tissue
"Cervical disorder, NOS",,,,ICD 10 - WHO,SAME-AS,M53.82,"Other specified dorsopathies, cervical region",Musculoskeletal and Connective Tissue
"Connective tissue disease, unspec.",,,,ICD 10 - WHO,SAME-AS,M35.9,"Systemic involvement of connective tissue, unspecified",Musculoskeletal and Connective Tissue
"Derangement, knee, internal, unspec.",,,,ICD 10 - WHO,SAME-AS,M23.90,Unspecified internal derangement of unspecified knee,Musculoskeletal and Connective Tissue
"Disc syndrome, no myelopathy, NOS",,,,ICD 10 - WHO,SAME-AS,M51.9,"Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder",Musculoskeletal and Connective Tissue
"Ganglion, unspec.",,,,ICD 10 - WHO,SAME-AS,M67.40,"Ganglion, unspecified site",Musculoskeletal and Connective Tissue
"Kyphosis/scoliosis, unspec.",,,,ICD 10 - WHO,SAME-AS,M43.8X9,"Other specified deforming dorsopathies, site unspecified",Musculoskeletal and Connective Tissue
"Muscle weakness, generalized",,,,ICD 10 - WHO,SAME-AS,M62.81,Muscle weakness (generalized),Musculoskeletal and Connective Tissue
"Osteoarthritis of spine, NOS",,,,ICD 10 - WHO,SAME-AS,M47.819,"Spondylosis without myelopathy or radiculopathy, site unspecified",Musculoskeletal and Connective Tissue
"Osteomyelitis, chronic, unspec.",,,,ICD 10 - WHO,SAME-AS,M86.60,"Other chronic osteomyelitis, unspecified site",Musculoskeletal and Connective Tissue
"Osteoporosis, unspec.",,,,ICD 10 - WHO,SAME-AS,M81.0,Age-related osteoporosis without current pathological fracture,Musculoskeletal and Connective Tissue
Pain in limb,,,,ICD 10 - WHO,SAME-AS,M79.609,Pain in unspecified limb,Musculoskeletal and Connective Tissue
Polymyalgia rheumatica,,,,ICD 10 - WHO,SAME-AS,M35.3,Polymyalgia rheumatica,Musculoskeletal and Connective Tissue
Rheumatoid arthritis (not JRA),,,,ICD 10 - WHO,SAME-AS,M06.9,"Rheumatoid arthritis, unspecified",Musculoskeletal and Connective Tissue
"Synovitis/tenosynovitis, unspec.",,,,ICD 10 - WHO,SAME-AS,M65.9,"Synovitis and tenosynovitis, unspecified",Musculoskeletal and Connective Tissue
"Congenital anomaly, other, unspec.",,,,ICD 10 - WHO,SAME-AS,Q89.9,"Congenital malformation, unspecified",Congenital Anomalies
"Limb anomaly, unspec.",,,,ICD 10 - WHO,SAME-AS,Q74.9,Unspecified congenital malformation of limb(s),Congenital Anomalies
Pyloric stenosis,,,,ICD 10 - WHO,SAME-AS,Q40.0,Congenital hypertrophic pyloric stenosis,Congenital Anomalies
Undescended testis,,,,ICD 10 - WHO,SAME-AS,Q53.9,"Undescended testicle, unspecified",Congenital Anomalies
"Birth asphyxia, unspec.",,,,ICD 10 - WHO,SAME-AS,P84,Other problems with newborn,Perinatal (Infant)
"Birth trauma, unspec.",,,,ICD 10 - WHO,SAME-AS,P15.9,"Birth injury, unspecified",Perinatal (Infant)
"Fetal distress, unspec.",,,,ICD 10 - WHO,SAME-AS,P19.9,"Metabolic acidemia, unspecified",Perinatal (Infant)
"Hypoxemia, newborn, NOS",,,,ICD 10 - WHO,SAME-AS,P84,Other problems with newborn,Perinatal (Infant)
"Jaundice, newborn, unspec.",,,,ICD 10 - WHO,SAME-AS,P59.8,Neonatal jaundice from other specified causes,Perinatal (Infant)
Post-term infant,,,,ICD 10 - WHO,SAME-AS,P08.21,Post-term newborn,Perinatal (Infant)
Respiratory distress syndrome,,,,ICD 10 - WHO,SAME-AS,P22.0,Respiratory distress syndrome of newborn,Perinatal (Infant)
"Respiratory problem, other, unspec.",,,,ICD 10 - WHO,SAME-AS,P28.9,"Respiratory condition of newborn, unspecified",Perinatal (Infant)
"Sepsis, neonatal",,,,ICD 10 - WHO,SAME-AS,P36.9,"Bacterial sepsis of newborn, unspecified",Perinatal (Infant)
Skin/temperature problem,,,,ICD 10 - WHO,SAME-AS,P83.9,"Condition of the integument specific to newborn, unspecified",Perinatal (Infant)
Sudden infant death syndrome,,,,ICD 10 - WHO,SAME-AS,R99,Ill-defined and unknown cause of mortality,Perinatal (Infant)
"Well newborn, hospital birth, vaginal",,,,ICD 10 - WHO,SAME-AS,Z38.00,"Single liveborn infant, delivered vaginally",Perinatal (Infant)
"Dislocation: other, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,T14.90,"Injury, unspecified",Injuries and Adverse Effects
"Dislocation: shoulder, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S43.006A,"Unspecified dislocation of unspecified shoulder joint, initial encounter",Injuries and Adverse Effects
"Sprain/strain: other site, unspec.",,,,ICD 10 - WHO,SAME-AS,T14.90,"Injury, unspecified",Injuries and Adverse Effects
"Sprain/strain: vertebral, unspec.",,,,ICD 10 - WHO,SAME-AS,S23.9XXA,"Sprain of unspecified parts of thorax, initial encounter",Injuries and Adverse Effects
"Fracture, stress: tibia or fibula",,,,ICD 10 - WHO,SAME-AS,M84.369A,"Stress fracture, unspecified tibia and fibula, initial encounter for fracture",Injuries and Adverse Effects
"Fracture: ankle, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S82.899A,"Other fracture of unspecified lower leg, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: carpal, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S62.109A,"Fracture of unspecified carpal bone, unspecified wrist, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: clavicle, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S42.009A,"Fracture of unspecified part of unspecified clavicle, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: femur/hip, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S72.009A,"Fracture of unspecified part of neck of unspecified femur, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: femur/shaft, closed",,,,ICD 10 - WHO,SAME-AS,S72.309A,"Unspecified fracture of shaft of unspecified femur, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: fibula, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S82.401A,"Unspecified fracture of shaft of right fibula, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: foot, closed, unspec. (not toes)",,,,ICD 10 - WHO,SAME-AS,S92.909A,"Unspecified fracture of unspecified foot, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: forearm, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S52.90XA,"Unspecified fracture of unspecified forearm, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: humerus, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S42.309A,"Unspecified fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: metacarpal, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S62.309A,"Unspecified fracture of unspecified metacarpal bone, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: nose, closed",,,,ICD 10 - WHO,SAME-AS,S02.2XXA,"Fracture of nasal bones, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: other sites, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,T14.8,Other injury of unspecified body region,Injuries and Adverse Effects
"Fracture: pelvic, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S32.9XXA,"Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: ribs, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S22.39XA,"Fracture of one rib, unspecified side, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: skull, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S02.91XA,"Unspecified fracture of skull, initial encounter for closed fracture",Injuries and Adverse Effects
"Fracture: tibia, closed, unspec.",,,,ICD 10 - WHO,SAME-AS,S82.201A,"Unspecified fracture of shaft of right tibia, initial encounter for closed fracture",Injuries and Adverse Effects
"Healed fracture, follow-up exam",,,,ICD 10 - WHO,SAME-AS,Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Injuries and Adverse Effects
"Abrasion, unspec.",,,,ICD 10 - WHO,SAME-AS,T07,Unspecified multiple injuries,Injuries and Adverse Effects
"Cold injury, unspec.",,,,ICD 10 - WHO,SAME-AS,T69.9XXA,"Effect of reduced temperature, unspecified, initial encounter",Injuries and Adverse Effects
"Contusion, unspec.",,,,ICD 10 - WHO,SAME-AS,T14.90,"Injury, unspecified",Injuries and Adverse Effects
"Crushing injury, unspec.",,,,ICD 10 - WHO,SAME-AS,S77.20XA,"Crushing injury of unspecified hip with thigh, initial encounter",Injuries and Adverse Effects
Exhaustion due to exposure,,,,ICD 10 - WHO,SAME-AS,T73.2XXA,"Exhaustion due to exposure, initial encounter",Injuries and Adverse Effects
"Foreign body, skin, superficial, unspec.",,,,ICD 10 - WHO,SAME-AS,T07,Unspecified multiple injuries,Injuries and Adverse Effects
"Gunshot wound, NOS",,,,ICD 10 - WHO,SAME-AS,W34.00XA,"Accidental discharge from unspecified firearms or gun, initial encounter",Injuries and Adverse Effects
"Head injury, NOS",,,,ICD 10 - WHO,SAME-AS,S06.890A,"Other specified intracranial injury without loss of consciousness, initial encounter",Injuries and Adverse Effects
"Heat injury, unspec.",,,,ICD 10 - WHO,SAME-AS,T67.9XXA,"Effect of heat and light, unspecified, initial encounter",Injuries and Adverse Effects
Insect bite,,,,ICD 10 - WHO,SAME-AS,T07,Unspecified multiple injuries,Injuries and Adverse Effects
"Medication, adverse effects, unspec.",,,,ICD 10 - WHO,SAME-AS,T50.905A,"Adverse effect of unspecified drugs, medicaments and biological substances, initial encounter",Injuries and Adverse Effects
"Open wound, head/neck/trunk, unspec.",,,,ICD 10 - WHO,SAME-AS,S31.000A,"Unspecified open wound of lower back and pelvis without penetration into retroperitoneum, initial encounter",Injuries and Adverse Effects
"Open wound, lower limb, unspec.",,,,ICD 10 - WHO,SAME-AS,S71.009A,"Unspecified open wound, unspecified hip, initial encounter",Injuries and Adverse Effects
"Open wound, upper limb, unspec.",,,,ICD 10 - WHO,SAME-AS,S41.009A,"Unspecified open wound of unspecified shoulder, initial encounter",Injuries and Adverse Effects
"Other trauma, unspec.",,,,ICD 10 - WHO,SAME-AS,T14.90,"Injury, unspecified",Injuries and Adverse Effects
Rape,,,,ICD 10 - WHO,SAME-AS,Z04.41,Encounter for examination and observation following alleged adult rape,Injuries and Adverse Effects
Acute nasopharyngitis,,,,ICD 10 - WHO,SAME-AS,J00,Acute nasopharyngitis [common cold],Unclassified
Pelvic congestion syndrome,,,,ICD 10 - WHO,SAME-AS,N94.89,Other specified conditions associated with female genital organs and menstrual cycle,Unclassified
Bronchitis,,,,ICD 10 - WHO,SAME-AS,J40,"Bronchitis, not specified as acute or chronic",Unclassified
